cnumber,ibu,abv,style,bcity
Шум,0.00,0.39,0.49598,0.28213
Шум,0.00,0.52,0.92735,0.41524
Шум,0.00,0.55,0.44583,0.41524
Шум,0.00,0.70,0.46637,0.41524
Шум,0.00,0.59,0.44583,0.41524
Шум,0.00,0.60,0.28994,0.41524
Шум,0.00,0.35,0.92735,0.41524
Шум,0.00,0.51,0.21017,0.41524
Шум,0.00,0.43,0.92735,0.41524
Шум,0.00,0.67,0.46637,0.41524
Шум,0.00,0.56,0.21484,0.41524
Шум,0.00,0.57,0.21484,0.41524
Шум,0.00,0.54,0.21484,0.41524
Шум,0.00,0.66,0.75229,0.41524
Шум,0.44,0.48,0.92735,0.41524
Шум,0.00,0.47,0.52088,0.17612
Шум,0.00,0.47,0.52088,0.17612
Шум,0.00,0.47,0.52088,0.17612
Шум,0.00,0.47,0.52088,0.17612
Шум,0.00,0.64,1.00000,0.36746
Шум,0.00,0.64,0.29501,0.36746
Шум,0.67,0.77,0.64768,0.36746
Шум,0.33,0.62,0.52939,0.36746
Шум,0.00,0.62,0.14557,0.36746
Шум,0.31,0.34,0.92735,0.36746
Шум,0.13,0.38,0.16544,0.36746
Шум,0.13,0.38,0.16544,0.36746
Шум,0.13,0.38,0.16544,0.36746
Шум,0.38,0.66,0.77375,0.36746
Шум,0.68,0.76,0.46637,0.36746
Шум,0.31,0.34,0.92735,0.36746
Шум,0.33,0.62,0.52939,0.36746
Шум,0.47,0.53,0.91996,0.36746
Шум,0.26,0.65,0.51971,0.36746
Шум,0.47,0.55,0.44583,0.36746
Шум,0.13,0.38,0.16544,0.36746
Шум,0.60,0.55,0.44583,0.81268
Шум,0.00,0.39,0.70848,0.81268
Шум,0.00,0.46,0.56246,0.81268
Шум,0.09,0.27,0.41332,0.60664
Шум,0.14,0.35,0.70848,0.60664
Шум,0.00,0.43,0.87150,0.60664
Шум,0.00,0.47,0.56246,0.60664
Шум,0.00,0.51,0.44583,0.60664
Шум,0.00,0.51,0.44583,0.60664
Шум,0.21,0.39,0.10891,0.60664
Шум,0.00,0.51,0.44583,0.08922
Шум,0.33,0.39,0.44583,0.08922
Шум,0.00,0.70,0.40722,0.08922
Шум,0.37,0.70,0.77375,0.08922
Шум,0.12,0.36,0.27293,0.08922
Шум,0.14,0.41,0.51971,0.08922
Шум,0.55,0.46,0.44583,0.79128
Шум,0.22,0.42,0.81990,0.79128
Шум,0.22,0.42,0.81990,0.79128
Шум,0.60,0.66,0.46637,0.79128
Шум,0.00,0.30,0.41332,0.86499
Шум,0.19,0.43,0.31309,0.70398
Шум,0.19,0.43,0.31309,0.70398
Шум,0.38,0.51,0.44583,0.75926
Шум,0.10,0.33,0.16544,0.75926
Шум,0.15,0.39,0.87150,0.32437
Шум,0.58,0.98,0.89034,0.32437
Шум,0.19,0.60,0.34718,0.32437
Шум,0.31,0.33,0.92735,0.32437
Шум,0.19,0.39,0.60787,0.32437
Шум,0.16,0.52,0.14150,0.32437
Шум,0.10,0.31,0.45666,0.32437
Шум,0.13,0.43,0.43721,0.32437
Шум,0.50,0.59,0.46637,0.32437
Шум,0.28,0.40,0.21484,0.32437
Шум,0.00,0.51,0.64934,0.32437
Шум,0.47,0.47,0.44583,0.32437
Шум,0.15,0.39,0.59469,0.32437
Шум,0.26,0.41,0.14557,0.62037
Шум,0.26,0.39,0.92735,0.62037
Шум,0.24,0.41,0.43721,0.62037
Шум,0.15,0.31,0.43721,0.72720
Шум,0.27,0.41,0.92735,0.72720
Шум,0.75,0.64,0.46637,0.72720
Шум,0.29,0.41,0.92735,0.13839
Шум,0.14,0.41,0.34732,0.13839
Шум,0.00,0.45,0.92735,0.30803
Шум,0.00,0.34,0.27293,0.91076
Шум,0.00,0.51,0.44583,0.91076
Шум,0.00,0.42,0.92735,0.46175
Шум,0.32,0.48,0.44583,0.46175
Шум,0.00,0.46,0.44583,0.36746
Шум,0.00,0.51,0.44583,0.36746
Шум,0.00,0.35,0.10891,0.36746
Шум,0.00,0.38,0.31309,0.36746
Шум,0.00,0.44,0.88839,0.36746
Шум,0.00,0.33,0.06278,0.12067
Шум,0.00,0.33,0.92735,0.12067
Шум,0.00,0.38,0.06278,0.12067
Шум,0.10,0.45,0.28994,0.12067
Шум,0.04,0.44,0.17396,0.12067
Шум,0.58,0.55,0.44583,0.12067
Шум,0.12,0.45,0.56246,0.12067
Шум,0.10,0.45,0.28994,0.12067
Шум,0.19,0.43,0.95766,0.12067
Шум,0.12,0.45,0.56246,0.12067
Шум,0.04,0.44,0.17396,0.12067
Шум,0.10,0.45,0.28994,0.12067
Шум,0.05,0.54,0.52939,0.12067
Шум,0.58,0.55,0.44583,0.12067
Шум,0.12,0.45,0.56246,0.12067
Шум,0.04,0.44,0.17396,0.12067
Шум,0.21,0.43,0.92735,0.12067
Шум,0.00,0.47,0.44583,0.61021
Шум,0.00,0.37,0.28994,0.61021
Шум,0.00,0.39,0.52088,0.20565
Шум,0.00,0.39,0.52088,0.20565
Шум,0.00,0.39,0.52088,0.20565
Шум,0.00,0.47,0.55751,0.97654
Шум,0.00,0.66,0.14557,0.97654
Шум,0.55,0.55,0.44583,0.75063
Шум,0.14,0.37,0.70848,0.75063
Шум,0.17,0.47,0.21017,0.75063
Шум,0.40,0.47,0.92735,0.53407
Шум,0.13,0.48,0.10891,0.53407
Шум,0.00,0.41,0.92735,0.32244
Шум,0.37,0.72,0.59215,0.03175
Шум,0.15,0.40,0.21484,0.03175
Шум,0.08,0.41,0.06278,0.11756
Шум,0.33,0.55,0.44583,0.00775
Шум,0.20,0.25,0.27293,0.38209
Шум,0.19,0.41,0.21017,0.38209
Шум,0.50,0.47,0.44583,0.38209
Шум,0.00,0.38,0.27293,0.54828
Шум,0.00,0.60,0.44583,0.54828
Шум,0.00,0.60,0.56246,0.54828
Шум,0.20,0.44,0.70848,0.20252
Шум,0.49,0.55,0.44583,0.20252
Шум,0.29,0.45,0.14557,0.22258
Шум,1.00,0.64,0.46637,0.22258
Шум,0.26,0.48,0.21017,0.22258
Шум,0.26,0.47,0.56246,0.22258
Шум,0.83,0.59,0.46637,0.01198
Шум,0.09,0.43,0.21017,0.01198
Шум,0.00,0.41,0.16544,0.01198
Шум,0.06,0.35,0.70848,0.01198
Шум,0.45,0.39,0.44583,0.01198
Шум,0.09,0.39,0.27241,0.01198
Шум,0.00,0.55,0.91996,0.67730
Шум,0.00,0.48,0.44583,0.67730
Шум,0.00,0.40,0.92735,0.67730
Шум,0.00,0.41,0.60787,0.67730
Шум,0.00,0.41,0.44110,0.67730
Шум,0.00,0.62,0.46637,0.00775
Шум,0.00,0.50,0.21484,0.00775
Шум,0.31,0.37,0.60787,0.00775
Шум,0.08,0.44,0.55751,0.00775
Шум,0.50,0.49,0.44583,0.00775
Шум,0.13,0.43,0.87150,0.00775
Шум,0.13,0.48,0.14150,0.00567
Шум,0.17,0.56,0.34410,0.00567
Шум,0.17,0.38,0.10891,0.00567
Шум,0.00,0.52,0.44583,0.00567
Шум,0.04,0.72,0.29501,0.00567
Шум,0.30,0.48,0.56246,0.00567
Шум,0.00,0.67,0.46637,0.97172
Шум,0.00,0.47,0.21017,0.97172
Шум,0.00,0.39,0.56246,0.97172
Шум,0.00,0.47,0.59469,0.49538
Шум,0.32,0.47,0.92735,0.49538
Шум,0.28,0.34,0.92735,0.18473
Шум,0.00,0.55,0.44583,0.06167
Шум,0.29,0.30,0.44583,0.06167
Шум,0.17,0.41,0.27293,0.06167
