cnumber,ibu,abv,style,bcity
1,0.00,0.39,0.49598,0.28213
1,0.00,0.55,0.44583,0.41524
1,0.00,0.70,0.46637,0.41524
1,0.00,0.59,0.44583,0.41524
1,0.00,0.60,0.28994,0.41524
1,0.00,0.51,0.21017,0.41524
1,0.00,0.67,0.46637,0.41524
1,0.00,0.56,0.21484,0.41524
1,0.00,0.57,0.21484,0.41524
1,0.00,0.54,0.21484,0.41524
1,0.00,0.47,0.52088,0.17612
1,0.00,0.47,0.52088,0.17612
1,0.00,0.47,0.52088,0.17612
1,0.00,0.47,0.52088,0.17612
1,0.00,0.64,0.29501,0.36746
1,0.00,0.62,0.14557,0.36746
1,0.13,0.38,0.16544,0.36746
1,0.13,0.38,0.16544,0.36746
1,0.13,0.38,0.16544,0.36746
1,0.13,0.38,0.16544,0.36746
1,0.00,0.51,0.44583,0.08922
1,0.33,0.39,0.44583,0.08922
1,0.00,0.70,0.40722,0.08922
1,0.12,0.36,0.27293,0.08922
1,0.14,0.41,0.51971,0.08922
1,0.19,0.60,0.34718,0.32437
1,0.16,0.52,0.14150,0.32437
1,0.10,0.31,0.45666,0.32437
1,0.13,0.43,0.43721,0.32437
1,0.28,0.40,0.21484,0.32437
1,0.14,0.41,0.34732,0.13839
1,0.00,0.48,0.44583,0.46175
1,0.00,0.46,0.44583,0.36746
1,0.00,0.51,0.44583,0.36746
1,0.00,0.35,0.10891,0.36746
1,0.00,0.38,0.31309,0.36746
1,0.00,0.33,0.06278,0.12067
1,0.00,0.38,0.06278,0.12067
1,0.00,0.47,0.14150,0.12067
1,0.10,0.45,0.28994,0.12067
1,0.04,0.44,0.17396,0.12067
1,0.12,0.45,0.56246,0.12067
1,0.10,0.45,0.28994,0.12067
1,0.12,0.45,0.56246,0.12067
1,0.04,0.44,0.17396,0.12067
1,0.10,0.45,0.28994,0.12067
1,0.05,0.54,0.52939,0.12067
1,0.12,0.45,0.56246,0.12067
1,0.04,0.44,0.17396,0.12067
1,0.00,0.39,0.52088,0.20565
1,0.00,0.39,0.52088,0.20565
1,0.00,0.39,0.52088,0.20565
1,0.13,0.48,0.10891,0.53407
1,0.15,0.40,0.21484,0.03175
1,0.08,0.41,0.06278,0.11756
1,0.33,0.55,0.44583,0.00775
1,0.20,0.25,0.27293,0.38209
1,0.19,0.41,0.21017,0.38209
1,0.29,0.45,0.14557,0.22258
1,0.26,0.48,0.21017,0.22258
1,0.26,0.47,0.56246,0.22258
1,0.09,0.43,0.21017,0.01198
1,0.00,0.41,0.16544,0.01198
1,0.09,0.39,0.27241,0.01198
1,0.00,0.62,0.46637,0.00775
1,0.00,0.50,0.21484,0.00775
1,0.31,0.37,0.60787,0.00775
1,0.08,0.44,0.55751,0.00775
1,0.13,0.48,0.14150,0.00567
1,0.17,0.56,0.34410,0.00567
1,0.17,0.38,0.10891,0.00567
1,0.00,0.52,0.44583,0.00567
1,0.04,0.72,0.29501,0.00567
1,0.30,0.48,0.56246,0.00567
1,0.00,0.55,0.44583,0.06167
1,0.29,0.30,0.44583,0.06167
1,0.17,0.41,0.27293,0.06167
1,0.00,0.36,0.27241,0.06167
1,0.21,0.39,0.44110,0.41803
1,0.00,0.37,0.10891,0.37830
1,0.00,0.53,0.10700,0.37830
1,0.00,0.37,0.10891,0.37830
1,0.08,0.39,0.16544,0.19522
1,0.00,0.45,0.10891,0.08126
1,0.00,0.39,0.55751,0.08126
1,0.00,0.45,0.10891,0.08126
1,0.00,0.55,0.44583,0.08126
1,0.00,0.65,0.46637,0.30675
1,0.00,0.55,0.44583,0.24244
1,0.00,0.51,0.14557,0.24244
1,0.00,0.47,0.21484,0.24244
1,0.00,0.47,0.16544,0.31780
1,0.33,0.55,0.21017,0.23421
1,0.25,0.61,0.21484,0.23421
1,0.15,0.36,0.56246,0.12772
1,0.00,0.39,0.10891,0.47994
1,0.00,0.75,0.46637,0.47994
1,0.00,0.39,0.14557,0.47994
1,0.00,0.50,0.21484,0.47994
1,0.29,0.47,0.05216,0.05813
1,0.00,0.41,0.34732,0.08564
1,0.00,0.31,0.44110,0.08564
1,0.00,0.39,0.07331,0.08564
1,0.00,0.51,0.44583,0.45123
1,0.00,0.43,0.17396,0.45123
1,0.22,0.33,0.44583,0.37136
1,0.25,0.31,0.07392,0.37136
1,0.22,0.38,0.07331,0.25839
1,0.19,0.44,0.34410,0.25839
1,0.00,0.53,0.44583,0.25839
1,0.00,0.38,0.54010,0.25839
1,0.00,0.50,0.52939,0.25839
1,0.00,0.48,0.21017,0.25839
1,0.00,0.38,0.07331,0.25839
1,0.12,0.55,0.21017,0.13182
1,0.07,0.33,0.10891,0.23421
1,0.12,0.35,0.10891,0.23421
1,0.14,0.42,0.56246,0.23421
1,0.00,0.52,0.21484,0.12280
1,0.00,0.47,0.45666,0.12280
1,0.00,0.77,0.59215,0.12280
1,0.00,0.47,0.44583,0.12280
1,0.00,0.55,0.10663,0.12280
1,0.00,0.60,0.12336,0.12280
1,0.00,0.51,0.52687,0.12280
1,0.00,0.51,0.21484,0.12280
1,0.00,0.51,0.55751,0.12280
1,0.00,0.70,0.21484,0.12280
1,0.00,0.46,0.21484,0.12280
1,0.00,0.32,0.39015,0.12280
1,0.00,0.64,0.25581,0.12280
1,0.00,0.51,0.11182,0.12280
